,id,job_id,company_display_name,location,title,latitude,longitude,redirect_url,description,category_tag,contract_time,created,company_name_clean,token_count_description
13,17,5518601585,microsoft corporation,belgië,cloud & ai solution engineer - azure platform,,,https://www.adzuna.be/details/5518601585?utm_medium=api&utm_source=64e51cf1,"overview are you curious, enthusiastic about infrastructure, and ready to solve complex challenges in the ai era? join us as a? cloud & ai solution engineer ?focused on the? azure platform ?for? commercial customers ?at microsoft.in this technical sales role, you will help customers design secure, scalable, and resilient cloud architectures that support their modernization goals. using azure's iaas and paas services, you will guide organizations through migration, modernization, and optimizatio…",unknown,,2025-11-29t00:28:36z,microsoft_corporation,93
14,18,5518377097,analog devices,belgië,senior ml/ai speech enhancement and denoising sw engineer,,,https://www.adzuna.be/details/5518377097?utm_medium=api&utm_source=64e51cf1,"about analog devices analog devices, inc. (nasdaq: adi ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the intelligent edge. adi combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. with revenue of more than $9 billion in fy24 and approximately 24,000 people globally, adi …",it-jobs,full_time,2025-11-28t20:29:32z,analog_devices,94
15,19,5518376392,analog devices,belgië,senior ml/ai audio and acoustics sw engineer,,,https://www.adzuna.be/details/5518376392?utm_medium=api&utm_source=64e51cf1,"about analog devices analog devices, inc. (nasdaq: adi ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the intelligent edge. adi combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. with revenue of more than $9 billion in fy24 and approximately 24,000 people globally, adi …",it-jobs,full_time,2025-11-28t20:29:25z,analog_devices,94
16,20,5517537634,data wizards,belgië,artificial intelligence engineer,,,https://www.adzuna.be/details/5517537634?utm_medium=api&utm_source=64e51cf1,"don’t settle for just any consulting company, choose the one that’s right for you! we’re on the lookout for an ai engineer consultant to join our ambitious ai & data start-up. as data wizards, we are a team of experts in ai & data who advocate for human-centered ai development and usage. we partner with innovative companies from strategy to implementation to help them achieve their goals by unlocking the full potential of their data assets respecting cultural and ethical norms. you're making th…",unknown,,2025-11-28t11:44:04z,data_wizards,97
17,21,5517074838,luzmo,belgië,senior full stack engineer (ai and frontend-focused),,,https://www.adzuna.be/details/5517074838?utm_medium=api&utm_source=64e51cf1,"are you a passionate engineer who loves building intuitive, high-performing user interfaces — and enjoys working across the full stack when needed? at luzmo , we’re on a mission to deliver a powerful and seamless embedded analytics experience. we’re looking for a senior full stack engineer (frontend-focused) to help us take our product to the next level. you’ll play a key role in designing and implementing features that empower our users to explore and visualize data with ease — all while ensur…",it-jobs,,2025-11-28t00:08:26z,luzmo,96
18,22,5516737806,wolters kluwer,belgië,legal engineer (libra - legal ai assistant),,,https://www.adzuna.be/details/5516737806?utm_medium=api&utm_source=64e51cf1,"as a legal engineer, you will be working in our legal & regulatory division where we help legal and compliance professionals enhance productivity, mitigate risk, and solve complex problems confidently. there are hundreds of thousands of lawyers across europe — and at libra, we’re transforming how they work. our ai platform combines deep legal reasoning with cutting-edge generative technology, fundamentally changing how lawyers research, draft, and deliver legal work. about the role as a legal e…",it-jobs,full_time,2025-11-27t20:31:12z,wolters_kluwer,90
19,23,5515856911,vdab,belgië,data engineer ai,,,https://www.adzuna.be/details/5515856911?utm_medium=api&utm_source=64e51cf1,"voor het agentschap vlaamse dienst voor arbeidsbemiddeling en beroepsopleiding (vdab), is vlaanderen connect op zoek naar een: data engineer ai jouw toekomstige job als regisseur van de arbeidsmarkt heeft vdab als doelstelling arbeidsmarktdata te verwerken en uit te wisselen. het ecosysteem van bedrijven, organisaties en actoren waarmee vdab samenwerkt, wordt daarbij steeds complexer en diverser. om in dit snel veranderende landschap wendbaar te blijven, is de inzet van slimme systemen op basis…",unknown,,2025-11-27t07:32:15z,vdab,107
20,24,5515262299,wolters kluwer,belgië,full stack engineer (libra - legal ai assistant),,,https://www.adzuna.be/details/5515262299?utm_medium=api&utm_source=64e51cf1,"as a full stack engineer, you will be working for our legal & regulatory division where we help legal and compliance professionals enhance productivity, mitigate risk, and solve complex problems confidently. there are hundreds of thousands of lawyers across europe — and at libra , we’re transforming how they work. our ai platform combines deep legal reasoning with cutting-edge generative technology, fundamentally changing how lawyers research, draft, and deliver legal work. about the role we ar…",it-jobs,full_time,2025-11-26t20:38:37z,wolters_kluwer,89
21,25,5514276567,projective talent | part of projective group,belgië,junior ai engineer (private banking innovation),,,https://www.adzuna.be/details/5514276567?utm_medium=api&utm_source=64e51cf1,"junior ai engineer (private banking innovation)  antwerpen – hybride  vaste functie (geen freelance) –  projective talent | part of projective group ben jij een starter in ai, ml of data engineering? wil jij je carrière lanceren in één van de meest innovatieve domeinen binnen private banking ? dan is dit dé kans. wij zoeken een junior ai engineer die wil groeien, bouwen, experimenteren en impact creëren. je maakt deel uit van een modern ai-team dat prototypes, agents en slimme ai-workflows bouw…",unknown,,2025-11-26t07:00:23z,projective_talent_|_part_of_projective_group,106
22,26,5514276432,cream consulting,belgië,ai engineer,,,https://www.adzuna.be/details/5514276432?utm_medium=api&utm_source=64e51cf1,"permanent contract position what cream is all about? we could be a cream factory, a cooking blog or even a detective agency…but in reality, we are a consulting company in business & technology active in large organizations and industry leaders in banking, insurance, telecom, energy, retail & transport. cream’s special recipe: - 1/3 of personal development - 1/3 of collective intelligence - 1/3 of intrapreneurship and bonus ingredient: … some passionate colleagues :) what is an ai engineer at cr…",unknown,,2025-11-26t07:00:22z,cream_consulting,107
23,27,5514276401,projective talent | part of projective group,belgië,"senior data scientist (ai foundations, rag & data engineering)",,,https://www.adzuna.be/details/5514276401?utm_medium=api&utm_source=64e51cf1," antwerpen – hybride  vaste functie (geen freelance) projective talent | part of projective group wil jij als data scientist werken aan de kern van moderne ai-architecturen ? heb jij ervaring met etl, sql, datamodellering en de data-fundamenten achter llm’s en rag-systemen? dan hebben wij een uitzonderlijke kans voor jou. wij zoeken een medior/senior data scientist die zowel data engineering als ai-technieken beheerst, en die mee wil bouwen aan de ai-infrastructuur van een innovatieve private b…",unknown,,2025-11-26t07:00:21z,projective_talent_|_part_of_projective_group,114
24,28,5514276029,inku,belgië,senior data engineer,,,https://www.adzuna.be/details/5514276029?utm_medium=api&utm_source=64e51cf1,overview help build the world's most advanced brand-consistent ai content generation platform at inku. we are on a mission to create the most sophisticated brand identity ai system in the world. this system will ingest and understand every facet of a brand—from visual guidelines and product imagery to company culture and video content—to generate content that feels unconsciously on-brand. our platform will power the creation of production-ready 4k assets that seamlessly blend brand authenticity…,it-jobs,,2025-11-26t06:59:24z,inku,88
25,29,5514275943,projective talent | part of projective group,belgië,junior data scientist (ai foundations & data engineering),,,https://www.adzuna.be/details/5514275943?utm_medium=api&utm_source=64e51cf1,junior data scientist (ai foundations & data engineering) antwerpen vaste functie (geen freelance) – try & hire projective talent | part of projective group ben jij een beginnend data scientist met een passie voor data engineering én ai? wil jij werken in een omgeving waar jouw werk rechtstreeks de fundamenten legt voor geavanceerde ai-toepassingen in private banking ? dan is dit jouw ideale startpunt. wij zoeken een junior data scientist die wil bouwen aan de data-infrastructuur achter moderne…,unknown,,2025-11-26t06:58:54z,projective_talent_|_part_of_projective_group,102
26,30,5514275841,projective talent | part of projective group,belgië,senior ai engineer (private banking innovation),,,https://www.adzuna.be/details/5514275841?utm_medium=api&utm_source=64e51cf1,"medior/senior ai engineer (private banking innovation) antwerpen vaste functie (geen freelance) projective talent | part of projective group wil jij impact maken met ai in een exclusieve private banking omgeving? ben jij klaar om complexe ai-oplossingen te bouwen die echte businesswaarde creëren? dan hebben wij een uitzonderlijke kans voor jou. wij zoeken een medior/senior ai engineer die llm’s, rag en ai-agents beheerst en in staat is om prototypes en workflows om te zetten in werkende oplossi…",unknown,,2025-11-26t06:58:49z,projective_talent_|_part_of_projective_group,109
27,31,5512198577,nanogrid,belgië,ai engineer,,,https://www.adzuna.be/details/5512198577?utm_medium=api&utm_source=64e51cf1,"ready to bring ai to life inside a fast-moving energy tech company? nanogrid (aalst, belgium) is looking for a mid-level ai engineer to supercharge our team with ai-powered solutions. this is a hands-on, in-office role (35 people company) where you’ll embed tools like microsoft 365 copilot into our daily workflow and automate the boring stuff so our people can focus on what really matters. what you’ll do: drive real adoption of ai – not just deploying tools, but ensuring people actually use the…",unknown,,2025-11-25t08:13:30z,nanogrid,109
28,742,5534608342,lets work,"dentergem, tielt",data officer,50.96407,3.46345,https://www.adzuna.be/details/5534608342?utm_medium=api&utm_source=64e51cf1,"je bent als data officer actief met een uitgebreid takenpakket voornamelijk administratieve taken : je creëert, onderhoud en verwerkt de verschillende artikelen zoals grondstoffen, fabricaten en product samenstellingen in sap. je evalueert de inkomende aanvragen voor wijzigingen van master data, valideert en voert deze tijdig uit. ten slotte bewaak je de kwaliteit van de master data door het uitvoeren van regelmatige check-ups.",admin-jobs,,2025-12-09t15:17:15z,lets_work,83
29,32,5509725842,aether,luik,(medior/senior) industrial data & ai coordination engineer,50.638663,5.603567,https://www.adzuna.be/details/5509725842?utm_medium=api&utm_source=64e51cf1,"context: could your best career choice be one that propels you toward becoming an intrapreneur or entrepreneur in your field of expertise? success in industries often relies on key individuals demonstrating intrapreneurial leadership, i.e. who continuously launch new initiatives and seek for excellence. the best way to develop this strength is through ad interim projects, i.e. work with established intrapreneurs in international companies to support their major expansion or improvement initiati…",unknown,,2025-11-22t22:05:49z,aether,93
30,33,5508496275,sopra steria,belgië,ai engineer,,,https://www.adzuna.be/details/5508496275?utm_medium=api&utm_source=64e51cf1,"job description we’re seeking passionate colleagues who are eager to push the boundaries in digital transformation and technology consulting. at sopra steria, you’ll have the opportunity to grow your skills in a constructive, collaborative team environment, working on impactful projects that drive change for our clients. if you thrive on challenge and meet (most of) the qualifications below, we look forward to your application! you are fully convinced that data science isn’t a hype, but you als…",consultancy-jobs,,2025-11-21t23:04:57z,sopra_steria,92
31,34,5506006926,dataroots,leuven, machine learning engineer,50.87927,4.70214,https://www.adzuna.be/details/5506006926?utm_medium=api&utm_source=64e51cf1," the job at dataroots, we couple our excellent consulting services with our technical expertise to build advanced machine learning models to improve business processes across a variety of industries, with a strong focus on dataops and mlops. as a machine learning engineer , you'll be an integral part of our in-house team of ai specialists, designing and implementing models that deliver robust, data-driven solutions for our clients. passionate about data, you enjoy diving deep to uncover actiona…",other-general-jobs,,2025-11-20t21:19:41z,dataroots,93
32,35,5503871063,advancing people ltd,"brussel, brussel hoofdstad",ai python engineer,50.84674,4.35249,https://www.adzuna.be/details/5503871063?utm_medium=api&utm_source=64e51cf1,"are you an experienced python engineer with exposure to ai looking for a new exciting permanent role? do you live within a commutable distance of brussels - working 2 days per week in the office? if so, our rapidly expanding software client is keen to hear from you! salary : 60,000 - 67,000 euros per year plus 6,000 - 8,000 euros per year bonus. the role: you will work in the product team that builds my clients flagship solution, which combines low-code development, process automation (rpa), in…",it-jobs,full_time,2025-11-19t20:33:26z,advancing_people_ltd,115
33,36,5500810575,rydoo,mechelen,"solution engineer (mid-market, dutch speaker)",51.02892,4.47807,https://www.adzuna.be/details/5500810575?utm_medium=api&utm_source=64e51cf1,"description at rydoo, we make expense management simple, so people can focus on the important work, not their receipts. more than one million users trust us to submit, approve, and control expenses faster and smarter. semine shares that same mission. since 2015, the team has been building ai technology that removes the repetitive, time-consuming parts of accounting, helping finance teams work smarter. in july 2025, semine joined forces with rydoo to shape the future of financial automation. tog…",other-general-jobs,,2025-11-17t21:08:27z,rydoo,102
34,37,5499539428,loop earplugs,belgië,senior ai engineer i,,,https://www.adzuna.be/details/5499539428?utm_medium=api&utm_source=64e51cf1,"we are loop loop earplugs is reinventing how people experience the world by enabling them to live life at their own volume. 2024 was a pivotal year at loop – we hit 14,000,000 earplugs sold, were named ‘the best earplugs for concerts’ by the new york times, and expanded our product offering to a complete range of solutions for day and night. oh – and not to mention making history as the first company to win deloitte’s fast 50 belgium twice. but this is just the beginning. as we continue to deve…",it-jobs,,2025-11-16t19:57:58z,loop_earplugs,120
35,38,5499538567,loop earplugs,belgië,senior data engineer i,,,https://www.adzuna.be/details/5499538567?utm_medium=api&utm_source=64e51cf1,"we are loop loop earplugs is reinventing how people experience the world by enabling them to live life at their own volume. 2024 was a pivotal year at loop – we hit 14,000,000 earplugs sold, were named ‘the best earplugs for concerts’ by the new york times, and expanded our product offering to a complete range of solutions for day and night. oh – and not to mention making history as the first company to win deloitte’s fast 50 belgium twice. but this is just the beginning. as we continue to deve…",unknown,,2025-11-16t19:57:16z,loop_earplugs,120
36,39,5495290974,kpmg belgium,belgië,bi data storytelling consultant,,,https://www.adzuna.be/details/5495290974?utm_medium=api&utm_source=64e51cf1,"role overview at kpmg, we believe that the true value of data lies not only in what it shows, but in the story it tells. our business intelligence & analytics (bia) team empowers clients to move beyond the dashboard, transforming raw data into meaningful narratives that inspire action and shape smarter business decisions. as a bi consultant-data storytelling, you will bridge the gap between analytics and communication. you’ll help clients turn complex insights into clear, engaging, and actionab…",unknown,,2025-11-14t09:09:28z,kpmg_belgium,95
37,40,5494542351,uz brussel,"brussel, brussel hoofdstad",uz brussel - data engineer voor klinische data,50.84674,4.35249,https://www.adzuna.be/land/ad/5494542351?se=tthcub_v8bgormokdu-cda&utm_medium=api&utm_source=64e51cf1&v=b683d7b323c7cd61af286c3213e7d7ec2ce40151,"word onze nieuwe data engineer op de ict dienst uz brussel is een toonaangevend universitair ziekenhuis in het hart van onze hoofdstad. wij zijn een warm en vooruitstrevend ziekenhuis waar innovatie, onderzoek en patiëntgerichte zorg hand in hand gaan. elke dag zetten bijna 5.000 medewerkers zich in om onze missie waar te maken: zorg bieden die niet alleen uitblinkt in kwaliteit, maar ook in menselijkheid. wil jij met jouw talent het verschil maken voor onze patiënten? dan ben jij de collega di…",it-jobs,,2025-11-13t20:34:20z,uz_brussel,106
38,41,5493177314,enzo tech group,belgië,data engineer,,,https://www.adzuna.be/details/5493177314?utm_medium=api&utm_source=64e51cf1,"role build & optimise data pipelines from legacy systems to databricks lakehouse collaborate with ai and ml engineers to deliver high-quality data features support production systems driving search, pricing, and recommendation engines skill python apache spark azure databricks (lakehouse migration & optimisation) data pipelines, etl, ci/cd",unknown,,2025-11-13t08:45:44z,enzo_tech_group,62
39,42,5491602522,vivid resourcing,belgië,artificial intelligence engineer,,,https://www.adzuna.be/details/5491602522?utm_medium=api&utm_source=64e51cf1,"ai engineer – medtech | hybrid (brussels, belgium) salary: up to €7,000 per month benefits: hybrid working | company car | health benefits | career growth opportunities we are partnering with an exciting ai company in brussels! about the company join a leading medtech innovator at the forefront of artificial intelligence in healthcare. we’re transforming how medical data is analyzed and utilized — developing intelligent systems that improve diagnostics, patient outcomes, and healthcare efficien…",unknown,,2025-11-12t08:38:24z,vivid_resourcing,95
40,43,5487319738,furnipop,gent,data engineer / ai dev,51.05401,3.7217,https://www.adzuna.be/details/5487319738?utm_medium=api&utm_source=64e51cf1,"als ai / data intern bij furnipop werk je mee aan de ontwikkeling van onze ai-matching engine — het brein achter een platform dat interieurproducten automatisch combineert tot esthetisch harmonieuze composities. je onderzoekt hoe computer vision en machine learning kunnen worden toegepast om visuele en semantische gelijkenissen te herkennen tussen meubels en decoratie. daarbij werk je met echte datasets van merken en winkels, en experimenteer je met modellen zoals clip , vit en resnet om inzich…",customer-services-jobs,,2025-11-08t16:35:28z,furnipop,101
41,44,5484036357,abb,belgië,lead engineer application control platform,,,https://www.adzuna.be/details/5484036357?utm_medium=api&utm_source=64e51cf1,"at abb, we help industries outrun - leaner and cleaner. here, progress is an expectation - for you, your team, and the world. as a global market leader, we’ll give you what you need to make it happen. it won’t always be easy, growing takes grit. but at abb, you’ll never run alone. run what runs the world. this role sits within abb's robotics business, a leading global robotics company. we're entering an exciting new chapter as we’ve announced the plan for softbank group to acquire abb robotics.…",unknown,full_time,2025-11-06t16:46:24z,abb,112
42,45,5483879971,rydoo,belgië,"solution engineer for semine (mid-market, dutch speaker)",,,https://www.adzuna.be/details/5483879971?utm_medium=api&utm_source=64e51cf1,"at rydoo, we make expense management simple, so people can focus on the important work, not their receipts. more than one million users trust us to submit, approve, and control expenses faster and smarter. semine shares that same mission. since 2015, the team has been building ai technology that removes the repetitive, time-consuming parts of accounting, helping finance teams work smarter. in july 2025, semine joined forces with rydoo to shape the future of financial automation. together, we’re…",sales-jobs,full_time,2025-11-06t14:37:07z,rydoo,104
43,46,5482909307,laco,belgië,ai-engineer,,,https://www.adzuna.be/details/5482909307?utm_medium=api&utm_source=64e51cf1,"wil je meewerken aan innovatieve oplossingen voor toonaangevende klanten? en hou je ervan om de brug te slaan tussen technologie en business? dan hebben wij bij laco dé uitdaging voor jou! wat ga je doen? als ai-engineer ben jij de technische spil in het ontwikkelen en implementeren van ai-oplossingen op het azure-platform. je werkt nauw samen met data scientists, data engineers en softwareontwikkelaars om schaalbare en betrouwbare ai-modellen te bouwen, finetunen en integreren in de productie …",unknown,,2025-11-06t00:47:09z,laco,105
44,47,5482607178,randstad digital,gent,randstad digital - stage ai engineer,51.05401,3.7217,https://www.adzuna.be/land/ad/5482607178?se=tthcub_v8bgormokdu-cda&utm_medium=api&utm_source=64e51cf1&v=2e216372c7e758ee5b73a292e044666055c91f2d,"als stagiair ai engineer krijg je de kans om te experimenteren met kunstmatige intelligentie en machine learning. je helpt mee met het bouwen van slimme features voor onze webapplicaties. wat ga je doen? je onderzoekt hoe ai-modellen en machine learning-technieken geïntegreerd kunnen worden. je experimenteert met data en traint modellen. je bouwt eenvoudige proof-of-concepts die direct getest worden in onze webomgeving. je verkent nieuwe technologieën en zet je ideeën om in concrete, bruikbare …",it-jobs,,2025-11-05t20:03:05z,randstad_digital,107
45,48,5473279827,altrad services benelux,belgië,ai solutions engineer (entry-level),,,https://www.adzuna.be/details/5473279827?utm_medium=api&utm_source=64e51cf1,"about altrad services benespa altrad is an international group active in industrial services, with a strong focus on innovation and digital transformation. for our global organization, we are looking for a motivated ai solutions engineer who can inspire and guide colleagues in discovering and applying artificial intelligence in their daily work. your mission ai is hot. but for us, it’s still fresh. we’re looking for a curious mind eager to dive into the world of artificial intelligence – not to…",it-jobs,,2025-10-31t20:30:57z,altrad_services_benelux,94
46,49,5470002184,openchip and software technologies sl,gent,ai evaluation engineer,51.05401,3.7217,https://www.adzuna.be/details/5470002184?utm_medium=api&utm_source=64e51cf1,"the role: we are seeking an exceptional ai evaluation engineer to design, implement, and scale frameworks for assessing the performance, reliability, and trustworthiness of advanced ai systems. this individual will be responsible for developing methodologies and tools to measure model quality across diverse dimensions, such as accuracy, robustness, reasoning, safety, and efficiency. key responsibilities: design and develop evaluation frameworks: create scalable, reproducible evaluation pipeline…",it-jobs,full_time,2025-10-29t20:49:39z,openchip_and_software_technologies_sl,82
47,50,5463061535,flanders make,leuven,research engineer human ai,50.86441,4.69357,https://www.adzuna.be/details/5463061535?utm_medium=api&utm_source=64e51cf1,"functie flanders make onderzoekt en introduceert opkomende technologieën en tools zoals tablets, wearables, interactieve visiesystemen, cobots, enz. in een productieomgeving. door ons onderzoek willen we productiebedrijven mee helpen innoveren door het veeleisende werk van operatoren te vereenvoudigen, zowel op cognitief als op ergonomisch vlak. we nemen elke angst voor technologie weg en ondersteunen bedrijven in hun volgende stappen naar 'de fabriek van de toekomst'. als research engineer hum…",it-jobs,full_time,2025-10-24t21:35:40z,flanders_make,103
48,51,5462221092,apixa,belgië,ai computer vision engineer,,,https://www.adzuna.be/details/5462221092?utm_medium=api&utm_source=64e51cf1,"about apixa: apixa is specialized in solving challenging computer vision problems. we offer services and solutions in various areas of computer vision, including deep learning and artificial intelligence , hyperspectral imaging, pattern recognition, medical imaging, visual inspection, photogrammetry and 3d imaging. over the years, apixa has engaged in a multitude of both research oriented projects and industrial automation projects, and amongst its customers there are both renowned internationa…",it-jobs,full_time,2025-10-24t09:47:55z,apixa,88
49,52,5457818684,openchip and software technologies sl,gent,rust backend engineer - ai platform,51.05401,3.7217,https://www.adzuna.be/details/5457818684?utm_medium=api&utm_source=64e51cf1,"we are looking for a talented and ambitious rust backend engineer to help design and build the core infrastructure for our cloud-based ai deployment platform. in this role, you will develop the scalable, high-performance backend services that power the deployment, orchestration, and serving of ai models at scale, enabling cutting-edge ai applications to move seamlessly from development to production. key responsibilities: design, build, and maintain cloud-native backend services in rust that su…",it-jobs,full_time,2025-10-21t21:31:08z,openchip_and_software_technologies_sl,88
